half_move,average_complexity
0,69.500
1,67.574
2,67.627
3,67.359
4,67.842
5,69.113
6,70.374
7,71.131
8,71.870
9,72.805
10,73.555
11,74.756
12,76.031
13,77.446
14,78.722
15,80.578
16,82.044
17,83.050
18,84.719
19,85.792
20,86.749
21,87.659
22,87.707
23,88.765
24,89.720
25,90.607
26,91.251
27,92.239
28,93.108
29,94.037
30,94.574
31,95.315
32,96.488
33,96.833
34,97.037
35,97.684
36,98.109
37,98.260
38,98.823
39,99.281
40,99.713
41,99.896
42,100.680
43,101.604
44,102.704
45,102.287
46,102.459
47,102.555
48,102.961
49,103.571
50,104.119
51,104.724
52,104.983
53,105.347
54,105.210
55,105.875
56,105.694
57,105.618
58,105.453
59,105.447
60,105.638
61,105.711
62,105.400
63,104.771
64,105.168
65,103.543
66,104.182
67,105.667
68,106.046
69,105.382
70,105.167
71,105.169
72,105.500
73,104.726
74,103.232
75,101.100
76,101.820
77,102.420
78,102.039
79,101.246
80,100.182
81,100.129
82,100.292
83,100.546
84,99.850
85,98.865
86,97.741
87,98.057
88,97.420
89,98.220
90,99.010
91,99.511
92,102.188
93,103.444
94,103.386
95,103.723
96,102.538
97,102.331
98,101.708
99,100.736
